actual_label,prediction
B,an approach for genome analysis based on sequencing and assembly of unselected pieces of dna from the whole chromosome has been applied to obtain the complete nucleotide sequence 1830137 base pairs of the genome from the bacterium haemophilus influenzae rd this approach eliminates the need for initial mapping efforts and is therefore applicable to the vast array of microbial species for which genome maps are unavailable the h influenzae rd genome sequence genome sequence database accession number l42023 represents the only complete genome sequence from a free-living organism
B,salmonella enterica serovar typhi s typhi is the aetiological agent of typhoid fever a serious invasive bacterial disease of humans with an annual global burden of approximately 16 million cases leading to 600000 fatalities many s enterica serovars actively invade the mucosal surface of the intestine but are normally contained in healthy individuals by the local immune defence mechanisms however s typhi has evolved the ability to spread to the deeper tissues of humans including liver spleen and bone marrow here we have sequenced the 4809037-base pair bp genome of a s typhi ct18 that is resistant to multiple drugs revealing the presence of hundreds of insertions and deletions compared with the escherichia coli genome ranging in size from single genes to large islands notably the genome sequence identifies over two hundred pseudogenes several corresponding to genes that are known to contribute to virulence in salmonella typhimurium this genetic degradation may contribute to the human-restricted host range for s typhi ct18 harbours a 218150-bp multiple-drug-resistance inch1 plasmid phcm1 and a 106516-bp cryptic plasmid phcm2 which shows recent common ancestry with a virulence plasmid of yersinia pestis
B,helicobacter pylori strain 26695 has a circular genome of 1667867 base pairs and 1590 predicted coding sequences sequence analysis indicates that h pylori has well-developed systems for motility for scavenging iron and for dna restriction and modification many putative adhesins lipoproteins and other outer membrane proteins were identified underscoring the potential complexity of host-pathogen interaction based on the large number of sequence-related genes encoding outer membrane proteins and the presence of homopolymeric tracts and dinucleotide repeats in coding sequences h pylori like several other mucosal pathogens probably uses recombination and slipped-strand mispairing within repeats as mechanisms for antigenic variation and adaptive evolution consistent with its restricted niche h pylori has a few regulatory networks and a limited metabolic repertoire and biosynthetic capacity its survival in acid conditions depends in part on its ability to establish a positive inside-membrane potential in low ph
B,the complete genome of the green-sulfur eubacterium chlorobium tepidum tls was determined to be a single circular chromosome of 2154946 bp this represents the first genome sequence from the phylum chlorobia whose members perform anoxygenic photosynthesis by the reductive tricarboxylic acid cycle genome comparisons have identified genes in c tepidum that are highly conserved among photosynthetic species many of these have no assigned function and may play novel roles in photosynthesis or photobiology phylogenomic analysis reveals likely duplications of genes involved in biosynthetic pathways for photosynthesis and the metabolism of sulfur and nitrogen as well as strong similarities between metabolic processes in c tepidum and many archaeal species
B,the f tra operon region that includes genes trba traq and trbb was analyzed determination of the dna sequence showed that on the tra operon strand the trba gene begins 19 nucleotides nt distal to traf and encodes a 115-amino-acid mr-12946 protein the traq gene begins 399 nt distal to trba and encodes a 94-amino-acid mr-10867 protein the trbb gene which encodes a 179-amino-acid mr-19507 protein was found to overlap slightly with traq its start codon begins 11 nt before the traq stop codon protein analysis and subcellular fractionation of the products expressed by these genes indicated that the trbb product was processed and that the mature form of this protein accumulated in the periplasm in contrast the protein products of trba and traq appeared to be unprocessed membrane-associated proteins the dna sequence also revealed the presence of a previously unsuspected locus arta in the region between trba and traq the arta open reading frame was found to lie on the dna strand complementary to that of the f tra operon and could encode a 104-amino-acid 12132-dalton polypeptide since this sequence would not be expressed as part of the tra operon the activity of a potential arta promoter region was assessed in a galk fusion vector system in vivo utilization of the arta promoter and translational start sites was also examined by testing expression of an arta-beta-galactosidase fusion protein these results indicated that the arta gene is expressed from its own promoter
E,the finished sequence of human chromosome 20 comprises 59187298 base pairs bp and represents 994 of the euchromatic dna a single contig of 26 megabases mb spans the entire short arm and five contigs separated by gaps totalling 320 kb span the long arm of this metacentric chromosome an additional 234339 bp of sequence has been determined within the pericentromeric region of the long arm we annotated 727 genes and 168 pseudogenes in the sequence about 64 of these genes have a 5' and a 3' untranslated region and a complete open reading frame comparative analysis of the sequence of chromosome 20 to whole-genome shotgun-sequence data of two other vertebrates the mouse mus musculus and the puffer fish tetraodon nigroviridis provides an independent measure of the efficiency of gene annotation and indicates that this analysis may account for more than 95 of all coding exons and almost all genes
E,clone 120041 was selected from the est database for sequence similarity to dek and set proteins rearranged in leukemias the ends of the cdna were isolated by race technique the assembled cdna encodes an lrr-containing protein of 251 amino acids designated april acidic protein rich in leucines april has high similarity to human pp32 also named phapi bovine ipp2a1 and to rat lanp respectively april shows tissue-specific expression as shown by northern blot analysis it was localized to 15q25 by fish
E,two full-length cdnas dnlc2a and dnlc2b were cloned and characterized their open reading frames respectively encode 96 amino acids which are most closely homologous to roadblocklc7 one member of an ancient dynein light chain protein family conserved in nematode fruit fly mouse and rat the dnlc2a was expressed in 12 of 16 human tissues examined with especially strong expression in heart liver and brain whereas there was weak expression in lung prostate testis small intestine and colon the expression of dnlc2b was generally high compared with that of dnlc2a except in liver northern blotting andor semi-quantitative rt-pcr analysis examined the expression changes of dnlc2a and dnlc2b in 68 hepatocellular carcinoma tissue samples it was revealed that dnlc2a was up-regulated 45 out of the 68 cases while dnlc2b was down-regulated 44 out of 68 cases compared with their adjacent tumor-free liver tissues interestingly among the total 68 liver cancer samples tested dnlc2a was up-regulated while dnlc2b was down-regulated in 28 cases dnlc2a was up-regulated while no obvious change was observed for dnlc2b in 10 cases no obvious change was observed for dnlc2a while dnlc2b was down-regulated in 14 cases although the underlying mechanism is not clear to date the apparent up-regulation of dnlc2a and down-regulation of dnlc2b suggest that these genes might be involved in tumor progression on the other hand the different expression changes of the two homologous genes indicate that hepatocellular carcinomas are caused by different pathological mechanisms in addition dnlc2a was assigned to human chromosome 20q12-q1311 near the marker d20s106 by radiation hybrid mapping
E,mutations of the degenerins deg-1 mec-4 mec-10 are the major known causes of hereditary neurodegeneration in the nematode caenorhabditis elegans we cloned a neuronal degenerin mdeg from human and rat brain mdeg is an amiloride-sensitive cation channel permeable for na k and li this channel is activated by the same mutations which cause neurodegeneration in c elegans like the hyperactive c elegans degenerin mutants constitutively active mutants of mdeg cause cell death suggesting that gain of function of this novel neuronal ion channel might be involved in human forms of neurodegeneration
E,giardia lamblia is believed to be the earliest branching derivative from the eucaryotic lineage genomic and cdna clones encoding the giardia nadp-dependent glutamate dehydrogenase have been isolated and characterized southern hydridization using genomic dna indicates that the gene encoding this activity is unique and single copy primer extension s1 nuclease protection and genomic and cdna sequence analysis demonstrate that gene transcripts are initiated within a conserved at-rich sequence element immediately preceding the atg translation initiation codon and the short 5' untranslated region is not extended by transsplicing the open reading frame is 1350 nucleotides in length and encodes a protein of 449 amino acids the reading frame is not interrupted by introns and the primary transcript is probably not subjected to rna editing in the strictly anaerobic metabolism of giardia nadp-dependent glutamate dehydrogenase activity participates along with alanine aminotransferase in the cyclic dissipation of reducing equivalents nadph through the conversion of pyruvate to alanine the deduced amino acid sequence of the giardia protein exhibits substantial homology to numerous fungal and eubacterial nadp-dependent glutamate dehydrogenases comparisons of alignment gap positions and amino acid identities indicate that the giardia sequence is at least as similar or more similar to the eubacterial sequence than it is to the fungal sequence this supports the hypothesis that giardia diverged very early from the eucaryotic lineage
E,an amplified okayama-berg plasmid cdna library was constructed from total polya rna isolated from the madin-darby bovine kidney cell line mdbk this library was screened with a partial murine calpactin i heavy chain p36 cdna clone the identification of which was based on bovine p36 tryptic peptide sequences generated during the course of these studies the largest p36 cdna insert p366 of 16 kilobase pairs was fully sequenced by the dideoxy method the dna sequence of this insert had an open reading frame of 1014 base pairs and coded for a protein with a molecular weight of 38 481 the deduced protein sequence of 338 residues was concordant with 173 residue positions of p36 determined at the protein level the 5'- and 3'-ends of p366 contained 54 and 307 base pairs of untranslated sequence respectively examination of polya rna prepared from the madin-darby cell line indicated a p36 mrna species of about 16 kilobases four regions of internal homology each about 70 amino acid residues in length were observed in the deduced protein sequence for p36 thirty-three of the 70 residue positions were conserved in at least three of the four repeating units a comparison of derived amino acid sequence for bovine p36 with that previously determined for human lipocortin wallner b p mattaliano r j hession c cate r l tizard r sinclair l k foeller c chow e p browning j l ramachandran k l 38 pepinsky r b 1986 nature london 320 77-81 revealed extensive homology 66 overall and the presence of four repetitive regions in the lipocortin structureabstract truncated at 250 words
E,enteropeptidase ec 34219 is a key enzyme in the intestinal digestion cascade responsible for the conversion of trypsinogen to trypsin which then activates various pancreatic zymogens in order to structurally characterize the enzyme we purified the enzyme from porcine duodenal mucosa and showed that it consists of three polypeptide chains which we named mini chain m chain light chain l chain and heavy chain h chain in order of increasing molecular size based on their nh2-terminal sequences a cdna clone for porcine enteropeptidase was isolated and analyzed the clone was 3597 base pairs long which encoded 1034 amino acid residues of a single-chain precursor form of enteropeptidase the precursor contained an additional nh2-terminal 51-residue sequence including a putative internal signal sequence followed by the m chain 66 residues the h chain 682 residues and the l chain 235 residues in that order the h chain had regions partially homologous in sequence with low density lipoprotein receptor and complement components on the other hand the l chain was highly homologous with the catalytic domains of trypsin-like serine proteinases the structural model of the l chain suggests that the sequence arg885-arg-arg-lys888 is probably involved in the unique substrate specificity of the enzyme preferring acidic amino acid residues at the p2-p5 sites
B,the nucleotide sequence of the citc coding for the citrate carrier in several salmonella serovars has been determined and the amino acid sequence of the carrier protein was deduced the predicted citrate carrier from salmonella pullorum and salmonella enteritidis consists of 446 amino acids with a molecular weight of 47621 whereas that from salmonella dublin is the same 446 amino acids with the slightly different molecular weight of 47591 because 1 amino acid residue was substituted the predicted proteins are highly hydrophobic 69 nonpolar amino acids the hydropathy profile suggests that the proteins are composed of 11-12 hydrophobic membrane-spanning segments with two hydrophilic cores in the middle of the protein sequence no homology in the nucleotide and amino acid sequences was found in the molecular structures of cita citp and tcti genes the citc-coding citrate transport activity is na-dependent and specific for citrate only the transcript from the citc gene was not detected in the total rna from several salmonella serovars except s dublin in northern blot analysis although the promoter of the citc genes appeared to be functional in escherichia coli and salmonella typhimurium strains using the lacz fusion assay these results suggested that the citc gene-coding citrate carrier is probably a tctiii system such as that identified previously in s typhimurium
B,dna sequence analysis of a 1600-base-pair fragment located downstream of nifenx in nif region a of rhodobacter capsulatus revealed two additional open reading frames orfs orf5 encoding a ferredoxinlike protein and nifq the ferredoxinlike gene product contained two cysteine motifs typical of ferredoxins coordinating two 4fe-4s clusters but the distance between these two motifs was unusual for low-molecular-weight ferredoxins the r capsulatus nifq gene product shared a high degree of homology with klebsiella pneumoniae and azotobacter vinelandii nifq including a typical cysteine motif located in the c-terminal part nifq insertion mutants and also an orf5-nifq double deletion mutant showed normal diazotrophic growth only in the presence of high concentrations of molybdate this demonstrated that the gene encoding the ferredoxinlike protein is not essential for nitrogen fixation no nifa-activated consensus promoter could be found in the intergenic region between nifenx-orf4 and orf5-nifq analyses of a nifq-laczya fusion revealed that transcription of nifq was initiated at a promoter in front of nife in contrast to other nitrogen-fixing organisms r capsulatus nife nifn nifx orf4 orf5 and nifq were organized in one transcriptional unit
B,almost all aphid species homoptera insecta have 60-80 huge cells called bacteriocytes within which are round-shaped bacteria that are designated buchnera these bacteria are maternally transmitted to eggs and embryos through host generations and the mutualism between the host and the bacteria is so obligate that neither can reproduce independently buchnera is a close relative of escherichia coli but it contains more than 100 genomic copies per cell and its genome size is only a seventh of that of e coli here we report the complete genome sequence of buchnera sp strain aps which is composed of one 640681-base-pair chromosome and two small plasmids there are genes for the biosyntheses of amino acids essential for the hosts in the genome but those for non-essential amino acids are missing indicating complementarity and syntrophy between the host and the symbiont in addition buchnera lacks genes for the biosynthesis of cell-surface components including lipopolysaccharides and phospholipids regulator genes and genes involved in defence of the cell these results indicate that buchnera is completely symbiotic and viable only in its limited niche the bacteriocyte
E,the inferred transition from terrestrial hoofed mammal to fully aquatic cetacean has been intensively studied with fossil evidence however large sections of this remarkable evolutionary sequence are missing phylogenetic analysis of extant taxa may help to fill in some of these gaps in this report kappa-casein exon 4 and beta-casein exon 7 milk protein genes from cetaceans and other placental mammals were pcr-amplified sequenced and aligned to previously published sequences phylogenetic analyses of the casein data suggest that hippopotamid artiodactyls are more closely related to cetaceans than to other artiodactyls even-toed hoofed mammals an analysis of the nuclear casein sequences combined with published mitochondrial cytochrome b dna sequences also supports the cetaceahippopotamidae sister group this affinity implies that some of the aquatic traits of cetaceans were derived in the common ancestor of cetacea and hippopotamidae an extant missing link to cetacea may have been overlooked by science since the description of the semiaquatic hippopotamus in 1758 paleontological information is grossly inconsistent with this hypothesis if the casein phylogeny is accurate large gaps in the fossil record as well as extensive morphological reversals and convergences must be acknowledged
B,a gene capable of encoding a protein sharing 45 identical amino acids with the alpha subunit of the integration host factor ihf of escherichia coli was isolated from the photosynthetic bacterium rhodobacter capsulatus strain b10 by complementation of a hydrogenase-deficient hup- mutant ir4 a dna fragment of 274 base pairs containing an ihf binding consensus sequence isolated from the promoter region of the hydrogenase structural genes hupsl was shown by gel retardation assays to bind the ihf protein from e coli the product of the r capsulatus gene was shown to bind specifically to the 274-base-pair dna fragment from the hupsl promoter by analogy to the e coli hima gene which encodes the alpha subunit of ihf the gene complementing the ir4 mutant was named hima of r capsulatus the wild-type hima gene cloned in plasmid pbo2 was introduced into the ir4 strain and shown to restore in trans hydrogenase activity and autotrophic growth in the mutant in ir4 a c----t transition mutation had replaced arg-8 by cys-8 gel mobility shifts of the 274-base-pair dna fragment not observed with the hima gene product of ir4 were restored with extracts from ir4pbo2 cells containing the hima gene on the recombinant plasmid pbo2
E,mouse s-antigen clones were isolated from a mouse retinal cdna library using a bovine s-antigen cdna probe the largest clone msc-242 comprised 1532 bp and contained the entire coding sequence the nucleotide sequence homology between the mouse and bovine coding regions was 84 while non-coding regions appeared to be more divergent the deduced amino acid sequence indicated that the mouse s-antigen had 403 residues and its molecular ratio was 44930 an overall amino acid sequence similarity of 84 was observed between the mouse and bovine proteins this degree of similarity dropped to 60 and 47 at the n and the c termini respectively the local homology with alpha-transducin observed in the bovine proteins including the putative phosphoryl and rhodopsin binding sites was conserved in the mouse as well there was no overall sequence similarity with other proteins listed in the national biomedical research foundation nbrf protein sequence database among the uveitopathogenic sites for experimental autoimmune uveitis eau peptides n and m were identical to their bovine counterparts peptides 3 and k however were more divergent the short repeats within these peptides were conserved
B,comparison of two fully sequenced genomes of buchnera aphidicola the obligate endosymbionts of aphids reveals the most extreme genome stability to date no chromosome rearrangements or gene acquisitions have occurred in the past 50 to 70 million years despite substantial sequence evolution and the inactivation and loss of individual genes in contrast the genomes of their closest free-living relatives escherichia coli and salmonella spp are more than 2000-fold more labile in content and gene order the genomic stasis of b aphidicola likely attributable to the loss of phages repeated sequences and reca indicates that b aphidicola is no longer a source of ecological innovation for its hosts
B,aquifex aeolicus was one of the earliest diverging and is one of the most thermophilic bacteria known it can grow on hydrogen oxygen carbon dioxide and mineral salts the complex metabolic machinery needed for a aeolicus to function as a chemolithoautotroph an organism which uses an inorganic carbon source for biosynthesis and an inorganic chemical energy source is encoded within a genome that is only one-third the size of the e coli genome metabolic flexibility seems to be reduced as a result of the limited genome size the use of oxygen albeit at very low concentrations as an electron acceptor is allowed by the presence of a complex respiratory apparatus although this organism grows at 95 degrees c the extreme thermal limit of the bacteria only a few specific indications of thermophily are apparent from the genome here we describe the complete genome sequence of 1551335 base pairs of this evolutionarily and physiologically interesting organism
E,we have sequenced and annotated the genome of fission yeast schizosaccharomyces pombe which contains the smallest number of protein-coding genes yet recorded for a eukaryote 4824 the centromeres are between 35 and 110 kilobases kb and contain related repeats including a highly conserved 18-kb element regions upstream of genes are longer than in budding yeast saccharomyces cerevisiae possibly reflecting more-extended control regions some 43 of the genes contain introns of which there are 4730 fifty genes have significant similarity with human disease genes half of these are cancer related we identify highly conserved genes important for eukaryotic cell organization including those required for the cytoskeleton compartmentation cell-cycle control proteolysis protein phosphorylation and rna splicing these genes may have originated with the appearance of eukaryotic life few similarly conserved genes that are important for multicellular organization were identified suggesting that the transition from prokaryotes to eukaryotes required more new genes than did the transition from unicellular to multicellular organization
B,we present a complete dna sequence and metabolic analysis of the dominant oral bacterium fusobacterium nucleatum although not considered a major dental pathogen on its own this anaerobe facilitates the aggregation and establishment of several other species including the dental pathogens porphyromonas gingivalis and bacteroides forsythus the f nucleatum strain atcc 25586 genome was assembled from shotgun sequences and analyzed using the ergo bioinformatics suite httpwwwintegratedgenomicscom the genome contains 217 mb encoding 2067 open reading frames organized on a single circular chromosome with 27 gc content despite its taxonomic position among the gram-negative bacteria several features of its core metabolism are similar to that of gram-positive clostridium spp enterococcus spp and lactococcus spp the genome analysis has revealed several key aspects of the pathways of organic acid amino acid carbohydrate and lipid metabolism nine very-high-molecular-weight outer membrane proteins are predicted from the sequence none of which has been reported in the literature more than 137 transporters for the uptake of a variety of substrates such as peptides sugars metal ions and cofactors have been identified biosynthetic pathways exist for only three amino acids glutamate aspartate and asparagine the remaining amino acids are imported as such or as di- or oligopeptides that are subsequently degraded in the cytoplasm a principal source of energy appears to be the fermentation of glutamate to butyrate additionally desulfuration of cysteine and methionine yields ammonia h2s methyl mercaptan and butyrate which are capable of arresting fibroblast growth thus preventing wound healing and aiding penetration of the gingival epithelium the metabolic capabilities of f nucleatum revealed by its genome are therefore consistent with its specialized niche in the mouth
E,the subunit analogous to the d-subunit of atp synthase from bovine heart mitochondria was isolated from the purified yeast enzyme partial protein sequences were determined by direct methods from this information two oligonucleotide probes were constructed and used for screening a dna genomic bank of saccharomyces cerevisiae the sequence of yeast subunit d was deduced from the dna sequence of atp7 gene mature yeast subunit d is 173 amino acids long its nh2-terminal serine is blocked by an n-acetyl group and the protein has no processed nh2-terminal sequence other than the removal of the initiator methionine the protein is predominantly hydrophilic the amino acid sequence is 22 identical and 44 homologous to bovine subunit d a null mutant was constructed the mutant strain was unable to grow on glycerol medium the mutant mitochondria had no detectable oligomycin-sensitive atpase activity and the catalytic sector f1 was loosely bound to the membranous part the mutant mitochondria did not contain subunit d and the mitochondrially encoded hydrophobic subunit 6 was not present
B,the human gut is colonized with a vast community of indigenous microorganisms that help shape our biology here we present the complete genome sequence of the gram-negative anaerobe bacteroides thetaiotaomicron a dominant member of our normal distal intestinal microbiota its 4779-member proteome includes an elaborate apparatus for acquiring and hydrolyzing otherwise indigestible dietary polysaccharides and an associated environment-sensing system consisting of a large repertoire of extracytoplasmic function sigma factors and one- and two-component signal transduction systems these and other expanded paralogous groups shed light on the molecular mechanisms underlying symbiotic host-bacterial relationships in our intestine
E,the evolution of two mitochondrial genes cytochrome b and cytochrome c oxidase subunit ii was examined in several eutherian mammal orders with special emphasis on the orders artiodactyla and rodentia when analyzed using both maximum parsimony with either equal or unequal character weighting and neighbor joining neither gene performed with a high degree of consistency in terms of the phylogenetic hypotheses supported the phylogenetic inconsistencies observed for both these genes may be the result of several factors including differences in the rate of nucleotide substitution among particular lineages especially between orders base composition bias transitiontransversion bias differences in codon usage and different constraints and levels of homoplasy associated with first second and third codon positions we discuss the implications of these findings for the molecular systematics of mammals especially as they relate to recent hypotheses concerning the polyphyly of the order rodentia relationships among the artiodactyla and various interordinal relationships
E,citrate synthase is a key enzyme of the krebs tricarboxylic acid cycle and catalyzes the stereospecific synthesis of citrate from acetyl coenzyme a and oxalacetate the amino acid sequence and three-dimensional structure of pig citrate synthase dimers are known and regions of the enzyme involved in substrate binding and catalysis have been identified a cloned complementary dna sequence encoding pig citrate synthase has been isolated from a pig kidney lambda gt11 cdna library after screening with a synthetic oligonucleotide probe the complete nucleotide sequence of the 15-kilobase cdna was determined the coding region consists of 1395 base pairs and confirms the amino acid sequence of purified pig citrate synthase the derived amino acid sequence of pig citrate synthase predicts the presence of a 27 amino acid n-terminal leader peptide whose sequence is consistent with the sequences of other mitochondrial signal peptides a conserved amino acid sequence in the mitochondrial leader peptides of pig citrate synthase and yeast mitochondrial citrate synthase was identified to express the pig citrate synthase cdna in escherichia coli we employed the inducible t7 rna polymerasepromoter double plasmid expression vectors pgp1-2 and pt7-7 tabor s 38 richardson c c 1985 proc natl acad sci usa 82 1074-1078 the pig citrate synthase cdna was modified to delete the n-terminal leader sequence then by use of a synthetic oligonucleotide linker the modified cdna was cloned into pt7-7 immediately following the initiator met a glutamate-requiring citrate synthase deficient reca- e coli mutant dek15 was transformed with pgp1-2 and then pt7-7pcs pt7-7pcs complemented the e coli glta mutationabstract truncated at 250 words
B,in the framework of the international project aimed at sequencing the bacillus subtilis bs genome a 357-kb chromosome segment around the pel locus has been cloned and sequenced this region 35745 bp 70 degrees-73 degrees of the genetic map contains two partial and 38 complete orfs a homology search for the products deduced from the 39 orfs revealed that 26 of them exhibit significant similarity to known proteins eg germination proteins sodium-alanine symporter pts system methionine amino peptidase 2-oxoglutaratemalate translocater pectate lyase general stress response protein rna helicase iron uptake and two-component systems
B,the human gut is colonized with a vast community of indigenous microorganisms that help shape our biology here we present the complete genome sequence of the gram-negative anaerobe bacteroides thetaiotaomicron a dominant member of our normal distal intestinal microbiota its 4779-member proteome includes an elaborate apparatus for acquiring and hydrolyzing otherwise indigestible dietary polysaccharides and an associated environment-sensing system consisting of a large repertoire of extracytoplasmic function sigma factors and one- and two-component signal transduction systems these and other expanded paralogous groups shed light on the molecular mechanisms underlying symbiotic host-bacterial relationships in our intestine
E,fibroblast growth factor 3 fgf3 was first identified as the product of a cellular oncogene activated by mouse mammary tumour virus but its normal role appears to be in the developing embryo to gain further insights into its function we have isolated sequences encoding the fgf3 homologue in xenopus laevis xfgf3 cos-1 cells transfected with xfgf3 cdna express a 31 kda product p31 generated by signal peptide cleavage and asn-linked glycosylation at the single consensus site this product is secreted and becomes associated with the cell surface and extracellular matrix proteolytic cleavage of p31 in the extracellular compartment results in an amino-terminally truncated product p27 that is also glycosylated both p31 and p27 bind quantitatively to heparin-sepharose and can be displaced from the cell surface and extracellular matrix by soluble heparin conditioned medium containing these two proteins is capable of inducing transient morphological transformation of nih3t3 cells and of stimulating dna synthesis in quiescent c57mg and balbmk cells which express different isoforms of fgf receptors 1 and 2 since xfgf3 behaves very differently from its mouse counterpart we constructed chimeras in which amino-terminal sequences from xfgf3 were fused with carboxy-terminal sequences from mouse fgf3 increasing the contribution from mouse fgf3 led to a more restricted host range for the chimeric ligand
